"Source","Name","Address","Latitude","Longitude","Phone","Email","Website","OsmUrl"
"OpenStreetMap","evillas","","50,7942841","4,2672002","","","http://www.e-villas.be/","https://www.openstreetmap.org/node/3498890084"
"OpenStreetMap","Expertissimmo","","50,8457037","4,4171557","","","","https://www.openstreetmap.org/node/11682340322"
"OpenStreetMap","Expertissimmo","","50,8505675","4,3969615","","","https://expertissimmo.eu/","https://www.openstreetmap.org/node/10727273192"
"OpenStreetMap","Expertissimo","","50,8265193","4,4123468","","","","https://www.openstreetmap.org/node/3468189081"
"OpenStreetMap","Expertissimo","","50,8715483","4,3944365","","","","https://www.openstreetmap.org/node/1259471463"
"OpenStreetMap","Fastigon","Vandenpeereboomstraat 244","50,7374735","4,2460791","+32 2 478 77 07","info@fastigon.be","https://www.fastigon.com/","https://www.openstreetmap.org/node/6328898733"
"OpenStreetMap","First Immo","","50,852007","4,4647227","","","","https://www.openstreetmap.org/node/4239382394"
"OpenStreetMap","Foyer Anderlechtois - Anderlechtse Haard","","50,8335359","4,3130632","","","https://www.foyer-anderlechtois.be/","https://www.openstreetmap.org/node/7179896163"
"OpenStreetMap","Génération Campus","","50,850819","4,4508286","","","https://www.generation-campus.be/contactez-nous.html","https://www.openstreetmap.org/node/8617276124"
"OpenStreetMap","Growing","","50,845467","4,3868858","","","https://growing.be/","https://www.openstreetmap.org/node/11932491803"
"OpenStreetMap","Haussman Properties","","50,8574629","4,3515979","","","","https://www.openstreetmap.org/node/4418632900"
"OpenStreetMap","Hermans Real Estate","","50,8311126","4,3999297","","","","https://www.openstreetmap.org/node/10536825885"
"OpenStreetMap","Home Consult","","50,8618913","4,5140828","+32 2 731 07 07","immo@home-consult.be","https://www.home-consult.be/","https://www.openstreetmap.org/node/12372582029"
"OpenStreetMap","Home Consult","Markt 13","50,8240027","4,5134046","+32 2 731 07 07","immo@home-consult.be","https://www.home-consult.be/","https://www.openstreetmap.org/node/3544266434"
"OpenStreetMap","Home Horizon","","50,8749636","4,3270404","+32 2 479 67 90","homehorizonsprl@gmail.com","https://www.homehorizon.be/","https://www.openstreetmap.org/node/12040115900"
"OpenStreetMap","HomeSelect","Mechelsesteenweg","50,8628761","4,515538","","","","https://www.openstreetmap.org/node/5730587852"
"OpenStreetMap","HSM Property","","50,8444919","4,3840006","","","","https://www.openstreetmap.org/node/11269839311"
"OpenStreetMap","Ifac Service","Brusselsesteenweg 15","50,8245682","4,5116841","+32 2 767 14 14","info@ifacservice.be","https://www.ifacservice.be/","https://www.openstreetmap.org/node/12216455452"
"OpenStreetMap","Immo Balcaen","","50,8718753","4,3246607","","","","https://www.openstreetmap.org/node/9700701871"
"OpenStreetMap","Immo Bolle","","50,8208658","4,4083642","","","","https://www.openstreetmap.org/node/2343454284"
"OpenStreetMap","Immo Casalina","De Grunnelaan - Avenue de Grunne 10","50,8401682","4,4915506","","","","https://www.openstreetmap.org/node/10204735839"
"OpenStreetMap","Immo CD","","50,8350339","4,3879888","+32 2 640 02 06","claudinedoyen@immocd.eu","https://www.immocd.be/","https://www.openstreetmap.org/node/2365906501"
"OpenStreetMap","Immo Fm","","50,8639838","4,323611","+32 2 414 55 11","","https://www.immofm.be/","https://www.openstreetmap.org/node/13378530306"
"OpenStreetMap","Immo I.D.","","50,8461017","4,3834624","","","https://www.immoid.be","https://www.openstreetmap.org/node/4354574917"
"OpenStreetMap","Immo Quartier","","50,7450616","4,2680144","+32 2 201 80 80","info@immoquartier.be","https://www.immoquartier.be/","https://www.openstreetmap.org/node/11739531252"
"OpenStreetMap","Immo Roelands","","50,7387217","4,238054","+32 2 361 30 01","","https://www.immoroelands.be","https://www.openstreetmap.org/node/9897894179"
"OpenStreetMap","Immo Sedar","","50,738273","4,2333015","","","","https://www.openstreetmap.org/node/5408200708"
"OpenStreetMap","Immo Sherwin","","50,8910012","4,5425832","","","","https://www.openstreetmap.org/node/6034732539"
"OpenStreetMap","Immo Vermast","Maubeugelaan 2 1800 Vilvoorde","50,9194389","4,405099","+32 2 687 79 90","info@immovermast.be","https://immovermast.be/","https://www.openstreetmap.org/node/10744755347"
"OpenStreetMap","Immobilière Le Col-Vert sprl","","50,8424311","4,3976505","+32 2 644 38 76","","http://www.col-vert.be","https://www.openstreetmap.org/node/4614349796"
"OpenStreetMap","Immobilière Le Lion","","50,7951409","4,4118241","","","","https://www.openstreetmap.org/node/13095302930"
"OpenStreetMap","ImmoBy","","50,8252262","4,3460458","","","https://www.immoby.be/","https://www.openstreetmap.org/node/9654641549"
"OpenStreetMap","IMP Belgium","","50,8399095","4,4006713","","","","https://www.openstreetmap.org/node/11187637404"
"OpenStreetMap","INESU IMMO","","50,8503683","4,4539986","+32 2 764 41 65","","https://inesu.be/","https://www.openstreetmap.org/node/8665477241"
"OpenStreetMap","J&S Properties","","50,8681787","4,3735791","+32 2 538 02 58","info@jsproperties.be","https://www.jsproperties.be/","https://www.openstreetmap.org/node/9374610484"
"OpenStreetMap","Jet'immo","","50,8776575","4,3209198","+32 2 420 11 55","info@jetimmo.be","https://www.jetimmo.be/","https://www.openstreetmap.org/node/10797315998"
"OpenStreetMap","Just Immo","","50,8970838","4,3603945","+32 2 268 03 33","info@justimmo.be","http://www.justimmo.be/","https://www.openstreetmap.org/node/8228283923"
"OpenStreetMap","keystones","120 1950 Kraainem","50,8483409","4,4746634","","","","https://www.openstreetmap.org/node/5327397989"
"OpenStreetMap","Kg Immo","","50,8408453","4,3514177","","","","https://www.openstreetmap.org/node/12570563132"
"OpenStreetMap","La Maison","","50,8332742","4,4468954","+32 2 669 23 03","brussels@lamaison.be","https://www.lamaison.be/","https://www.openstreetmap.org/node/1793126629"
"OpenStreetMap","Laforet-Immo Balcaen","Markt 37 1780","50,9099505","4,3068257","","","","https://www.openstreetmap.org/node/1327277549"
"OpenStreetMap","Latour & Petit","","50,8365859","4,4693333","","","","https://www.openstreetmap.org/node/5338812902"
"OpenStreetMap","Le Logis-Floréal","","50,8002651","4,4152591","","","https://www.lelogisfloreal.be/","https://www.openstreetmap.org/node/12347215442"
"OpenStreetMap","Leman's Immobilier","","50,8367066","4,3878391","","","","https://www.openstreetmap.org/node/9032592402"
"OpenStreetMap","Les Viviers","","50,8362362","4,4064336","","","","https://www.openstreetmap.org/node/11910497038"
"OpenStreetMap","Leus","","50,8623533","4,5152902","","","","https://www.openstreetmap.org/node/5305081977"
"OpenStreetMap","Limmo Team","","50,7315012","4,2362659","","","","https://www.openstreetmap.org/node/4320028287"
"OpenStreetMap","Living Stone","","50,7362531","4,2370609","+32 2 466 60 60","","https://www.living-stone.be/nl/kantoor/living-stone-halle","https://www.openstreetmap.org/node/5578933405"
"OpenStreetMap","Lojega","","50,8744058","4,2969147","","","https://lojega.be/","https://www.openstreetmap.org/node/13592191079"
"OpenStreetMap","MAK","","50,8419897","4,4672769","","","","https://www.openstreetmap.org/node/3698510330"
"OpenStreetMap","Maxime Real Estate","","50,8278831","4,4625038","+32 2 771 16 35","info@maxime-realestate.be","https://www.maxime-realestate.be/","https://www.openstreetmap.org/node/2255618793"
"OpenStreetMap","McNash","","50,741487","4,3376022","","","","https://www.openstreetmap.org/node/12014398240"
"OpenStreetMap","Modifa","","50,8221675","4,3535356","","","https://www.modifa.be/","https://www.openstreetmap.org/node/13318432237"
"OpenStreetMap","Multimmo","","50,7747214","4,247715","+32 2 378 40 40","","https://www.multimmo.be","https://www.openstreetmap.org/node/12588595363"
"OpenStreetMap","Multimmo","Alsembergsesteenweg 660","50,7316296","4,295394","","","","https://www.openstreetmap.org/way/576744044"
"OpenStreetMap","Myimmo Altitude","","50,8191056","4,3413396","","","","https://www.openstreetmap.org/node/11974638918"
"OpenStreetMap","Nadimmo","","50,838544","4,3821233","","","","https://www.openstreetmap.org/node/766847784"
"OpenStreetMap","Nesting Really","","50,8237393","4,3484392","","","","https://www.openstreetmap.org/node/6970161507"
"OpenStreetMap","Next Homes","","50,8386022","4,3644558","+32 2 425 94 84","","https://www.nexthomes.be/","https://www.openstreetmap.org/node/10584530548"
"OpenStreetMap","Planimmo","","50,8587979","4,4672339","","olivier@planimmo.eu","","https://www.openstreetmap.org/node/4919743841"
"OpenStreetMap","Prassimo","","50,851745","4,3651624","+32 2 223 22 69","prassimo@skynet.be","","https://www.openstreetmap.org/node/4831169493"
"OpenStreetMap","Property One","","50,7956893","4,3210477","+32 2 376 60 66","info@propertyone.be","https://propertyone.be/","https://www.openstreetmap.org/node/9164120592"
"OpenStreetMap","RE/MAX Premium","","50,8352037","4,3939093","","","https://www.remax.be/Premium/","https://www.openstreetmap.org/node/10467379809"
"OpenStreetMap","Real Renting bvba","Kleinewinkellaan 14/1","50,9152018","4,3677148","","","","https://www.openstreetmap.org/node/9902855513"
"OpenStreetMap","Residency","","50,8954382","4,3630555","+32 2 268 58 00","contact@residency.be","https://www.residency.be/en","https://www.openstreetmap.org/node/8241075820"
"OpenStreetMap","Rosace","","50,8280602","4,3750091","+32 2 335 00 50","immobilier@rosace.eu","https://www.rosace.be/","https://www.openstreetmap.org/node/11420202670"
"OpenStreetMap","Sharma immobilière","","50,8313594","4,3445499","","","","https://www.openstreetmap.org/node/10100501035"
"OpenStreetMap","Sorimo","","50,8399487","4,4636586","","","","https://www.openstreetmap.org/node/3705471893"
"OpenStreetMap","Square Properties","","50,836079","4,3796438","+32 2 346 02 76","","https://www.square-properties.be/","https://www.openstreetmap.org/node/10565395494"
"OpenStreetMap","Success-Immo Invest","","50,8493176","4,3501882","+32 2 437 75 26","","http://www.access-immo.be","https://www.openstreetmap.org/node/4461557978"
"OpenStreetMap","Sweet Inn","","50,8352791","4,364673","","","https://www.sweetinn.com/brussels","https://www.openstreetmap.org/node/9310749491"
"OpenStreetMap","The Bridge","Koningin Astridlaan - Avenue Reine Astrid 237 1950 Kraainem","50,8491242","4,4654189","","","https://www.thebridge.be/","https://www.openstreetmap.org/node/3194996841"
"OpenStreetMap","Trevi","","50,8272586","4,3644485","","","","https://www.openstreetmap.org/node/12908930471"
"OpenStreetMap","Trevi Nord","","50,8955781","4,3637656","+32 2 410 10 30","nord@trevi.be","https://www.trevi.be/fr/residentiel/trevi-nord-laeken","https://www.openstreetmap.org/node/4657153766"
"OpenStreetMap","Trior","","50,8855782","4,3176761","+32 2 430 37 30","","https://www.trior.be/agence-immobiliere-jette","https://www.openstreetmap.org/node/10053402275"
"OpenStreetMap","Trior","","50,8412787","4,4340899","","","","https://www.openstreetmap.org/node/12230103540"
"OpenStreetMap","Twin Team","","50,818503","4,4165124","","","","https://www.openstreetmap.org/node/11289334048"
"OpenStreetMap","Urban Concept","","50,8973695","4,3574129","+32 2 262 44 44","info@urban-concept.be","https://www.urban-concept.be/","https://www.openstreetmap.org/node/8231789955"
"OpenStreetMap","Urban Concept","","50,8968645","4,3873787","+32 2 262 44 44","neder@urban-concept.be","https://www.urban-concept.be/","https://www.openstreetmap.org/node/8231814490"
"OpenStreetMap","Urban Concept","Meeuwenlaan 4","50,9127371","4,3718924","+32 2 880 20 22","vilvoorde@urban-concept.be","https://www.urban-concept.be/","https://www.openstreetmap.org/node/8429860237"
"OpenStreetMap","Valimmas & Co BV","Kattestraat 4","50,9101154","4,1983075","+32 2 452 59 25","","https://www.valimmas.be","https://www.openstreetmap.org/node/8394635449"
"OpenStreetMap","Vaneau Lecobel","","50,8173634","4,353953","+32 2 669 21 70","","https://www.lecobel-vaneau.be/en/real-estate-agencies/vaneau-lecobel-new-projects","https://www.openstreetmap.org/node/2167729837"
"OpenStreetMap","Viabilis Immo","","50,8225803","4,3425045","+32 2 646 50 00","","https://www.viabilis.be","https://www.openstreetmap.org/node/3103632533"
"OpenStreetMap","Victoire","","50,8261416","4,4464782","+32 2 375 10 10","","https://www.victoire.be/","https://www.openstreetmap.org/node/12520385802"
"OpenStreetMap","Victoire","","50,7881251","4,3758641","+32 2 808 43 12","","https://victoire.be/fr/","https://www.openstreetmap.org/node/12520388401"
"OpenStreetMap","Victoire Junot","","50,8179394","4,3525161","+32 2 375 10 20","","https://www.victoire.be/fr/","https://www.openstreetmap.org/node/12345723059"
"OpenStreetMap","VisionApartments","","50,8477612","4,3620408","","","","https://www.openstreetmap.org/node/6043612413"
"OpenStreetMap","We Invest","","50,815954","4,4286365","","","","https://www.openstreetmap.org/node/12109825730"
"OpenStreetMap","We Invest","","50,8103387","4,3973259","","","","https://www.openstreetmap.org/node/3317416054"
"OpenStreetMap","Wilink","","50,840683","4,3849994","+32 2 210 59 50","brussels@wilink.be","https://www.wilink.be","https://www.openstreetmap.org/node/4542204315"
"OpenStreetMap","Woonkantoor","","50,7319986","4,2317872","+32 2 381 24 20","","https://www.woonkantoor.be","https://www.openstreetmap.org/node/4320015975"
"OpenStreetMap","Xior","","50,8483798","4,35764","","","","https://www.openstreetmap.org/node/4539647318"
"OpenStreetMap","You(r) Real Estate","","50,8269886","4,3627682","","","","https://www.openstreetmap.org/node/13034311722"
